incident_id,url,url_length,path_length,subdomain_count,is_https,domain_length,has_hyphen,digit_count,cluster,cluster_name,pca1,pca2
openphish_1202,http://zunsmpvpvjjykior-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1203,http://qwrihaaffiyruinu-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1204,https://paypal.suport-services.com/Paypal/customer_center/user-481519/,70,36,1,1,26,1,6,2,hyphen_based_generic_phishing,-0.15393130068776517,0.29205050462864485
openphish_1205,http://kkachi.co.kr/webpage,27,8,1,0,12,0,0,1,plain_short_domain_phishing,-0.9772763839121336,-1.2683583044523798
openphish_1206,http://gmmhuuyhrqfzzllu-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1207,http://ac-69922914.bidsolutions.cl/nextVRF.html?location=3f49a5c787f80d37bc5774597d4bc415,89,13,1,0,27,1,30,2,hyphen_based_generic_phishing,0.6332230914145537,0.22029306966665435
openphish_1208,http://ac-09739836.bidsolutions.cl/nextVRF.html?location=3f49a5c787f80d37bc5774597d4bc415,89,13,1,0,27,1,30,2,hyphen_based_generic_phishing,0.6332230914145537,0.22029306966665435
openphish_1209,http://vieuxshack.com/download/adobe/83900f4480da19ac025f52e0c96d792d/login.php?cmd=login_submit&id=3e117f514b4f58d27a4079fc2e623f693e117f514b4f58d27a4079fc2e623f69&session=3e117f514b4f58d27a4079fc2e623f693e117f514b4f58d27a4079fc2e623f69,237,58,0,0,14,0,110,3,long_obfuscated_url,3.8756596647179617,-2.8133132002316956
openphish_1210,https://newpayee-deregistration-uk.com/Login.php,48,10,0,1,30,1,0,2,hyphen_based_generic_phishing,-0.8410976486289785,-0.07332932658346988
openphish_1211,https://accessdevice.live/Login.php,35,10,0,1,17,0,0,1,plain_short_domain_phishing,-1.2407973696852903,-1.7022830561265563
openphish_1212,https://device-access.live/Login.php,36,10,0,1,18,1,0,2,hyphen_based_generic_phishing,-1.0305635882699462,-0.660268129812329
openphish_1213,https://proceed-cancel-ipayee.com/lloyds/Login.php,50,17,0,1,25,1,0,2,hyphen_based_generic_phishing,-0.7901688003873802,-0.3382744228872532
openphish_1214,https://hali-payeecontrol.com/Login.php,39,10,0,1,21,1,0,2,hyphen_based_generic_phishing,-0.9831971033597043,-0.5135334290051142
openphish_1215,http://rihlnedxqektemoo-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1216,http://ohmrqtlicgxgnbfp-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1217,http://qwditrzttfubajmf-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1218,http://rurrkzispqddjswt-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1219,http://xnsmvbchnhwqgfyr-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1220,http://skkxxhovhxgkeiwv-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1221,http://vqiakjdsrbkckvly-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
openphish_1222,http://qeqxvywqadprlbiw-dot-owaonk399399393.uk.r.appspot.com/,61,1,3,0,53,1,9,0,hyphenated_numeric_lookalike,0.1994082167817469,3.0425072284318895
